ID,price,appraisaloffer,online_appraisal_flag,model_year,mileage,make,model,trim_descrip,body,color,engine,cylinders,mpg_city,mpg_highway,horsepower,fuel_capacity,market
19,32500,32500,0,2014,50,AIH,AIH_27,Not Premium,E,White,2.5L,4,41,38,219,14,6
20,32500,17500,0,2012,60,CFK,CFK_5,Premium,E,White,3.6L,6,16,21,285,22,4
21,32500,12500,0,2011,60,BZQ,BZQ_4,Not Premium,D,Gray,5.7L,8,16,23,395,26,1
22,32500,17500,0,2014,20,CIP,CIP_6,null,E,Gray,2.0L,4,22,28,235,15,9
23,27500,22500,0,2014,40,KQZ,KQZ_3,Not Premium,D,Gray,3.3L,6,19,25,290,23,8
24,27500,42500,0,2013,50,NHY,NHY_10,null,F,Black,3.5L,6,20,29,290,17,15
25,57500,37500,0,2014,20,IZA,IZA_12,Premium,E,Black,3.0L,6,18,24,300,22,5
26,27500,22500,1,2017,5,HXQ,HXQ_8,Not Premium,F,White,2.0L,4,31,40,158,12,2
27,17500,2500,0,2015,20,OFW,OFW_6,Not Premium,F,White,2.0L,4,30,40,147,14,16
28,22500,2500,0,2008,100+,BZQ,BZQ_4,Not Premium,D,Red,5.7L,8,14,20,395,26,16
29,27500,2500,0,2011,80,AIH,AIH_15,Not Premium,E,Black,3.5L,6,19,25,270,19,4
30,27500,2500,1,2009,65,HXQ,HXQ_4,Premium,G,Gray,3.5L,6,19,28,248,21,16
31,22500,2500,0,2013,35,KQZ,KQZ_4,Not Premium,E,Blue,1.5L,4,22,28,179,15,14
32,22500,22500,0,2012,55,HDT,HDT_10,Premium,F,Silver,2.5L,4,25,34,175,18,9
33,27500,22500,0,2011,15,AIH,AIH_32,Not Premium,D,Gray,2.7L,4,19,21,159,21,13
34,17500,7500,0,2013,65,OFW,OFW_6,Not Premium,F,White,2.0L,4,29,38,147,14,8
35,32500,17500,0,2010,55,CFK,CFK_5,Premium,E,White,3.6L,6,16,20,285,22,12
36,27500,7500,0,2012,40,KQZ,KQZ_11,Not Premium,A,Red,2.3L,4,21,30,310,15,2
37,27500,7500,0,2012,30,HAE,HAE_11,null,E,White,3.5L,6,19,26,295,19,12
38,37500,12500,0,2014,20,HXQ,HXQ_1,Premium,E,Black,3.5L,6,20,27,280,19,12
39,27500,7500,0,2015,40,FJE,FJE_9,Premium,E,Silver,3.6L,6,18,25,295,24,9
40,37500,17500,0,2011,15,LYP,LYP_17,Premium,E,Blue,3.0L,6,17,24,354,19,15
41,27500,12500,0,2013,5,CZV,CZV_9,Premium,F,Blue,2.5L,4,23,31,227,16,11
42,17500,32500,0,2009,100,OFW,OFW_20,Not Premium,E,Blue,2.4L,4,21,28,180,15,16
43,12500,2500,0,2010,95,BGZ,BGZ_5,null,null,White,1.6L,4,24,30,130,14,9
44,62500,27500,1,2016,15,KQZ,KQZ_15,Premium,E,White,3.0L,6,18,24,400,18,13
45,22500,2500,0,2014,55,NHY,NHY_10,null,F,Black,2.4L,4,23,32,206,17,1
46,42500,12500,0,2015,10,NHY,NHY_6,null,E,White,3.5L,6,20,27,290,19,6
47,22500,2500,0,2015,10,AIH,AIH_25,Not Premium,F,White,1.8L,4,30,38,139,13,10
48,22500,22500,1,2013,55,ARU,ARU_3,Not Premium,F,Black,3.5L,6,21,30,300,18,6
49,32500,12500,0,2011,45,AIH,AIH_15,Premium,E,White,3.5L,6,19,25,270,19,15
50,37500,2500,0,2014,25,BZQ,BZQ_4,Not Premium,D,Blue,5.7L,8,20,25,395,26,8
51,37500,7500,0,2014,20,NHY,NHY_9,null,E,Black,2.0L,4,22,27,272,17,4
52,17500,2500,0,2011,60,HXQ,HXQ_15,Not Premium,null,Red,1.5L,4,33,41,130,10,14
53,22500,2500,0,2013,35,HDT,HDT_10,Premium,F,Blue,2.5L,4,25,34,175,18,14
54,32500,17500,0,2014,30,LTX,LTX_12,Premium,D,Burgundy,3.6L,6,18,25,308,21,6
55,22500,7500,1,2014,20,HXQ,HXQ_15,Not Premium,null,Red,1.5L,4,33,40,128,10,10
56,27500,2500,0,2012,65,JDZ,JDZ_20,null,E,Black,2.0L,4,22,28,241,17,10
57,32500,17500,1,2012,60,LTX,LTX_3,Not Premium,E,Gray,3.6L,6,15,22,281,22,7
58,12500,12500,0,2007,75,LTX,LTX_16,Not Premium,F,White,1.4L,4,24,36,138,15,10
59,22500,7500,0,2014,35,KQZ,KQZ_4,Not Premium,E,Blue,1.5L,4,22,28,179,15,4
60,32500,7500,0,2013,40,LTX,LTX_9,Not Premium,D,Gray,4.3L,6,17,22,285,26,4
61,27500,12500,0,2010,30,HDT,HDT_8,Premium,F,Black,2.0L,4,21,28,268,15,9
62,22500,7500,1,2015,55,ARU,ARU_4,Not Premium,E,Black,2.5L,4,26,33,170,14,15
63,22500,2500,0,2012,60,AIH,AIH_29,Not Premium,G,Pearl,3.5L,6,19,27,296,20,10
64,27500,7500,0,2012,60,IZA,IZA_39,Premium,E,Black,2.0L,4,21,28,240,17,3
65,32500,27500,1,2013,10,HXQ,HXQ_10,Premium,E,Silver,1.5L,4,28,34,190,14,7
66,27500,12500,0,2015,20,BGZ,BGZ_17,Not Premium,E,White,2.4L,4,22,29,185,18,12
67,17500,12500,1,2011,35,FJE,FJE_3,Not Premium,G,White,3.6L,6,17,25,283,20,7
68,42500,27500,0,2015,35,AIH,AIH_32,Premium,D,Black,3.5L,6,17,20,278,21,14
69,37500,7500,0,2015,10,HXQ,HXQ_4,Premium,G,Red,3.5L,6,19,28,280,19,14
70,22500,22500,null,2013,60,FVQ,FVQ_8,Not Premium,E,White,1.5L,4,26,30,170,14,1
71,22500,2500,1,2013,50,HDT,HDT_12,Premium,E,Black,2.0L,4,27,33,152,16,11
72,17500,2500,0,2010,70,BGZ,BGZ_4,Not Premium,E,White,2.4L,4,21,28,182,15,10
73,37500,2500,1,2012,65,HAE,HAE_19,null,E,Black,5.6L,8,13,19,400,26,15
74,27500,2500,1,2015,10,HXQ,HXQ_14,Premium,F,Blue,1.5L,4,29,35,192,14,4
75,17500,2500,0,2011,100,ARU,ARU_3,Not Premium,F,White,3.5L,6,22,30,300,18,15
76,42500,12500,0,2015,15,CZV,CZV_7,Premium,E,White,2.5L,4,20,26,227,19,6
77,32500,32500,0,2012,35,IZA,IZA_39,Not Premium,E,White,2.0L,4,21,28,240,17,16
78,22500,2500,0,2015,10,BGZ,BGZ_6,Not Premium,F,Gray,2.0L,4,29,40,147,14,5
79,32500,17500,0,2012,15,BZQ,BZQ_4,Not Premium,D,Black,3.6L,6,16,23,305,26,7
80,27500,17500,0,2013,40,KQZ,KQZ_15,Not Premium,E,Black,2.3L,4,16,22,280,18,13
81,37500,12500,1,2014,15,BZQ,BZQ_4,Not Premium,D,Red,3.6L,6,19,24,305,26,5
82,27500,2500,0,2006,20,LTX,LTX_21,Premium,B,Black,6.2L,8,16,24,426,19,5
83,32500,12500,0,2014,30,HXQ,HXQ_4,Premium,G,Blue,3.5L,6,19,28,280,19,4
84,27500,12500,0,2014,55,BXO,BXO_5,Premium,F,Black,3.6L,6,19,30,292,18,7
85,27500,7500,0,2013,25,HDT,HDT_4,Premium,null,Black,2.5L,4,25,32,175,18,13
86,22500,2500,0,2013,40,CFK,CFK_10,Premium,E,White,3.2L,6,20,27,271,15,7
87,37500,17500,1,2012,40,FJE,FJE_5,Premium,B,Gray,6.4L,8,14,23,485,18,8
88,27500,22500,1,2013,35,HXQ,HXQ_10,Premium,E,White,1.5L,4,28,34,190,14,15
89,17500,42500,0,2007,75,HXQ,HXQ_4,Not Premium,G,Gray,3.5L,6,18,27,248,21,4
90,27500,32500,0,2014,45,HDT,HDT_12,Premium,E,Gray,2.0L,4,27,33,152,16,10
91,32500,7500,1,2014,15,IZA,IZA_43,Premium,null,Blue,2.0L,4,23,33,248,15,9
92,22500,7500,1,2015,15,HXQ,HXQ_8,Not Premium,F,Black,2.0L,4,30,38,158,12,15
93,22500,2500,0,2014,70,AIH,AIH_13,Not Premium,F,Black,2.5L,4,28,39,203,16,14
94,27500,12500,0,2013,60,KQZ,KQZ_11,Not Premium,A,White,2.3L,4,20,28,310,15,10
95,22500,7500,1,2013,40,HXQ,HXQ_10,Not Premium,E,Blue,2.4L,4,26,32,184,14,9
96,32500,42500,0,2013,40,AIH,AIH_29,Premium,G,White,3.5L,4,19,27,296,20,9
97,32500,7500,0,2013,40,CFK,CFK_8,null,E,Black,3.6L,6,19,26,293,24,14
98,27500,17500,1,2012,30,HXQ,HXQ_10,Not Premium,E,Black,1.5L,4,27,33,190,14,5
99,22500,2500,0,2010,45,LYP,LYP_11,Premium,F,White,2.0L,4,24,33,220,14,11
100,37500,12500,1,2013,40,NKR,NKR_9,Premium,E,Brown,3.6L,6,17,25,310,22,12
101,17500,12500,0,2013,35,KQZ,KQZ_1,Not Premium,F,Gold,1.5L,4,23,34,181,16,11
102,22500,22500,1,2014,35,BGZ,BGZ_16,Not Premium,F,Gray,2.4L,4,24,33,185,18,11
103,17500,22500,1,2009,100+,KQZ,KQZ_15,Not Premium,E,Red,3.5L,6,17,23,290,18,4
104,27500,2500,1,2013,55,KQZ,KQZ_3,Not Premium,D,Gray,3.5L,6,18,25,282,23,8
105,22500,2500,0,2012,55,AIH,AIH_13,Not Premium,F,Silver,2.5L,4,24,33,178,17,7
106,22500,7500,0,2014,50,AIH,AIH_13,Not Premium,F,Gray,2.5L,4,28,39,203,16,9
107,32500,12500,1,2016,10,CZV,CZV_10,Premium,E,White,2.5L,4,25,31,187,14,1
108,27500,17500,0,2014,55,FJE,FJE_3,Premium,G,White,3.6L,6,17,25,283,20,13
109,22500,22500,1,2012,35,LYP,LYP_22,Premium,F,White,2.0L,4,26,35,221,15,15
110,17500,12500,1,2011,45,JHO,JHO_10,Premium,F,Black,1.8L,4,25,36,170,14,1
111,37500,32500,1,2014,40,AIH,AIH_32,Premium,D,Silver,3.5L,6,18,22,278,21,12
112,32500,22500,1,2014,55,HXQ,HXQ_1,Premium,E,White,3.5L,6,19,27,280,19,16
113,22500,12500,0,2014,65,JHO,JHO_10,Premium,F,Black,1.4L,4,30,40,147,13,8
114,32500,2500,0,2014,15,HXQ,HXQ_10,Premium,E,Gray,1.5L,4,27,33,190,14,7
115,37500,22500,null,2013,75,LTX,LTX_26,Not Premium,E,Silver,5.3L,8,16,23,355,31,15
116,32500,22500,0,2012,20,CIP,CIP_31,null,E,Gray,3.5L,6,20,27,295,19,10
117,17500,7500,0,2010,75,KQZ,KQZ_19,Premium,F,Tan,2.0L,4,26,38,160,12,14
118,17500,12500,0,2013,45,AIH,AIH_5,Not Premium,E,Silver,2.5L,4,22,28,176,15,5
119,42500,37500,0,2013,45,ARU,ARU_11,Premium,E,Brown,5.6L,8,14,19,390,26,11
120,27500,7500,0,2016,30,OFW,OFW_11,Not Premium,F,White,2.5L,4,28,38,191,14,2
121,32500,2500,0,2013,50,LTX,LTX_3,Not Premium,E,White,3.6L,6,17,25,310,21,14
122,37500,22500,0,2012,20,CFK,CFK_5,Premium,E,White,3.6L,6,16,21,285,22,12
123,37500,32500,0,2010,70,BZQ,BZQ_4,Premium,D,Green,5.7L,8,15,22,395,32,8
124,27500,17500,1,2013,30,NHY,NHY_10,null,F,Blue,2.4L,4,23,33,206,17,14
125,52500,32500,0,2015,5,CFK,CFK_5,Premium,E,Gray,2.0L,4,17,23,270,21,16
126,37500,2500,1,2014,30,LTX,LTX_3,Not Premium,E,Black,3.6L,6,18,27,310,19,6
127,32500,2500,0,2013,35,KQZ,KQZ_3,Not Premium,D,Black,5.0L,8,18,23,395,23,1
128,32500,17500,0,2014,30,IZA,IZA_19,Not Premium,F,Black,2.0L,4,26,36,255,15,8
129,32500,22500,0,2012,40,BXO,BXO_2,Premium,G,Black,3.6L,6,19,28,287,19,15
130,17500,2500,0,2011,60,FJE,FJE_1,null,E,Gray,2.4L,4,19,26,173,20,1
131,42500,32500,null,2011,35,AIH,AIH_8,Not Premium,D,Silver,5.7L,8,13,17,381,26,8
132,22500,2500,1,2005,100+,KQZ,KQZ_3,Not Premium,D,Blue,4.6L,8,15,21,292,26,8
133,17500,22500,1,2013,35,JHO,JHO_4,Not Premium,E,White,2.0L,4,22,27,184,15,10
134,32500,7500,0,2014,55,FVQ,FVQ_4,Premium,E,White,3.6L,6,17,25,310,22,14
135,27500,7500,0,2010,75,FVQ,FVQ_4,Premium,E,Gray,3.6L,6,16,23,281,22,14
136,27500,2500,0,2014,30,HDT,HDT_4,Premium,null,White,2.5L,4,25,32,175,18,10
137,37500,12500,0,2013,35,HAE,HAE_11,null,E,Silver,3.5L,6,19,26,295,19,11
138,27500,2500,1,2014,35,CFK,CFK_10,Premium,E,Silver,3.2L,6,19,27,271,15,16
139,17500,2500,0,2005,95,CIP,CIP_31,null,E,Gold,3.5L,6,18,25,275,19,14
140,22500,2500,0,2007,100+,HXQ,HXQ_1,Premium,E,Black,3.5L,6,17,24,250,21,11
141,47500,22500,0,2015,30,BZQ,BZQ_4,Not Premium,D,Blue,5.7L,8,19,24,395,26,4
142,37500,12500,0,2013,25,KQZ,KQZ_15,Premium,E,Red,3.5L,6,16,22,365,18,7
143,27500,17500,0,2014,20,AIH,AIH_5,Not Premium,E,Silver,2.5L,4,26,35,203,14,15
144,27500,2500,1,2013,20,CFK,CFK_10,Premium,E,Gray,3.2L,6,21,28,271,15,2
145,32500,27500,null,2017,10,HXQ,HXQ_8,Premium,F,White,1.5L,4,31,38,174,12,11
146,37500,7500,0,2012,60,CIP,CIP_22,null,E,White,4.6L,8,15,18,301,23,14
147,27500,22500,0,2014,55,HXQ,HXQ_14,Premium,F,Black,2.0L,4,22,32,252,14,1
148,12500,12500,0,2013,50,BGZ,BGZ_5,Not Premium,null,Silver,2.0L,4,25,30,161,14,3
149,52500,32500,0,2015,15,CIP,CIP_31,Not Premium,E,Gray,3.5L,6,18,25,290,19,16
150,32500,12500,0,2015,30,ARU,ARU_11,Not Premium,E,Silver,5.6L,8,13,18,390,26,7
151,27500,22500,0,2013,35,AIH,AIH_5,Not Premium,E,Silver,2.5L,4,23,30,176,15,9
152,32500,42500,0,2014,25,JHO,JHO_12,Not Premium,E,Gray,3.6L,6,17,23,276,18,2
153,22500,27500,0,2014,20,HXQ,HXQ_8,Not Premium,F,Gray,2.0L,4,30,38,158,12,10
154,27500,27500,0,2017,5,LTX,LTX_30,Not Premium,E,White,1.4L,4,23,30,155,14,8
155,27500,7500,0,2014,30,HDT,HDT_12,Premium,E,Blue,2.0L,4,27,33,152,16,2
156,17500,12500,0,2012,60,KQZ,KQZ_19,Not Premium,F,Silver,2.0L,4,26,36,160,12,9
157,22500,17500,null,2014,60,ARU,ARU_4,Not Premium,E,Gray,2.5L,4,25,32,170,14,7
158,32500,27500,1,2009,15,LTX,LTX_9,Not Premium,D,Silver,5.3L,8,18,24,355,26,10
159,17500,2500,0,2012,15,JHO,JHO_10,Not Premium,F,Gray,1.4L,4,28,38,150,14,2
160,27500,7500,0,2013,10,AIH,AIH_13,Not Premium,F,Black,2.5L,4,28,39,203,16,12
161,27500,12500,0,2011,65,FJE,FJE_10,Premium,F,White,5.7L,8,16,25,370,18,10
162,32500,27500,0,2013,50,CIP,CIP_24,Premium,F,White,2.0L,4,22,32,241,17,10
163,17500,7500,0,2011,60,OFW,OFW_11,Not Premium,F,Red,2.4L,0,25,38,185,18,11
164,17500,7500,0,2013,25,LTX,LTX_20,Not Premium,E,Red,1.5L,4,26,32,170,14,6
165,27500,12500,1,2012,40,CZV,CZV_10,Premium,E,Black,2.5L,4,23,29,187,15,2
166,17500,2500,0,2009,90,HDT,HDT_3,Premium,E,White,2.0L,4,23,28,250,15,7
167,17500,2500,0,2011,75,LTX,LTX_6,Not Premium,F,Black,1.5L,4,27,37,160,13,8
168,42500,2500,0,2013,10,HXQ,HXQ_8,null,null,Blue,2.0L,4,22,28,306,12,10
169,27500,2500,0,2011,85,AIH,AIH_32,Not Premium,D,Red,2.7L,4,19,23,159,21,9
170,17500,2500,0,2011,35,GUK,GUK_8,Not Premium,E,Gray,2.4L,4,23,28,168,16,15
171,22500,7500,0,2012,70,CFK,CFK_10,Premium,E,Black,2.4L,4,21,30,184,15,15
172,42500,12500,null,2014,10,KQZ,KQZ_3,Not Premium,D,Silver,2.7L,6,16,22,250,26,1
173,22500,2500,0,2014,40,LTX,LTX_20,Not Premium,E,Gray,1.5L,4,26,32,170,14,5
174,17500,17500,0,2006,95,LTX,LTX_24,Not Premium,E,Black,5.3L,8,15,21,320,26,12
175,27500,2500,0,2014,30,KQZ,KQZ_15,Premium,E,White,3.5L,6,19,27,290,18,4
176,22500,27500,0,2013,50,GUK,GUK_4,Not Premium,E,Black,1.5L,4,25,26,152,15,9
177,12500,2500,0,2010,50,ARU,ARU_2,Not Premium,F,Gray,1.6L,4,26,35,109,10,1
178,17500,2500,0,2011,40,HXQ,HXQ_9,Not Premium,E,Blue,1.8L,4,27,32,141,13,13
179,32500,12500,1,2013,25,BZQ,BZQ_4,Not Premium,D,Gray,3.6L,6,17,25,305,26,7
180,22500,17500,1,2012,50,BGZ,BGZ_4,Not Premium,E,Silver,2.4L,4,21,25,181,16,16
181,27500,12500,0,2013,55,JHO,JHO_12,Not Premium,E,Black,3.6L,6,18,25,276,18,11
182,27500,27500,0,2013,40,AIH,AIH_13,Premium,F,Gray,2.5L,4,28,39,206,16,14
183,32500,7500,0,2013,30,JDZ,JDZ_18,null,F,Gray,2.0L,4,23,32,241,17,14
184,27500,12500,0,2016,10,CZV,CZV_6,Not Premium,null,Black,2.5L,4,24,31,186,12,15
185,22500,12500,null,2011,45,CFK,CFK_1,Not Premium,E,White,2.4L,4,20,26,172,13,11
186,47500,7500,0,2014,40,ARU,ARU_9,Premium,D,Black,5.6L,8,15,21,390,26,4
187,27500,17500,0,2010,55,CFK,CFK_8,Premium,E,White,3.6L,6,17,24,290,24,7
188,22500,17500,0,2013,50,LYP,LYP_8,Premium,E,Silver,2.0L,4,23,27,252,18,16
189,32500,7500,0,2012,55,JDZ,JDZ_20,null,E,White,2.0L,4,21,28,241,17,14
190,22500,2500,0,2013,35,HXQ,HXQ_14,Premium,F,White,2.0L,4,23,34,252,14,10
191,17500,2500,0,2011,55,HXQ,HXQ_14,Premium,F,Black,2.4L,4,27,37,185,17,10
192,22500,7500,0,2014,10,HXQ,HXQ_9,Not Premium,E,Black,1.8L,4,27,31,141,13,3
193,37500,12500,1,2013,30,LTX,LTX_9,Premium,D,White,5.3L,8,16,22,355,26,13
194,12500,7500,0,2007,90,IZN,IZN_5,null,null,White,2.5L,4,23,31,180,14,7
195,32500,17500,0,2012,20,FVQ,FVQ_4,Premium,E,Red,3.6L,6,21,26,310,19,7
196,32500,22500,0,2013,50,JDZ,JDZ_18,null,B,Blue,2.0L,4,22,30,241,17,7
197,52500,32500,0,2015,10,CFK,CFK_5,Premium,E,Black,3.6L,6,17,23,285,21,2
198,22500,7500,1,2013,30,FJE,FJE_3,Not Premium,G,White,3.6L,6,17,25,283,20,9
199,37500,27500,0,2016,15,BXO,BXO_5,Not Premium,F,Black,3.6L,6,19,30,300,18,6
200,12500,2500,0,2012,85,ARU,ARU_2,Not Premium,F,Blue,1.6L,4,31,39,109,10,10
201,17500,7500,0,2013,55,AIH,AIH_25,Not Premium,F,Black,1.8L,4,28,36,132,13,1
202,27500,2500,0,2011,100+,CIP,CIP_31,null,E,Silver,3.5L,6,19,26,295,19,15
203,22500,2500,0,2013,45,AIH,AIH_25,Premium,F,Silver,1.8L,4,28,35,132,13,4
204,17500,2500,0,2013,75,HXQ,HXQ_8,Not Premium,F,Blue,2.0L,4,31,40,158,12,10
205,17500,2500,0,2013,30,HXQ,HXQ_8,Not Premium,F,Gray,2.0L,4,31,40,158,12,13
206,27500,2500,0,2013,35,HXQ,HXQ_14,Premium,F,Red,1.5L,4,29,35,192,14,15
207,37500,22500,0,2014,10,AIH,AIH_32,Premium,D,Black,3.5L,6,18,22,278,21,13
208,32500,2500,0,2011,95,LTX,LTX_12,Premium,D,Gray,2.8L,4,17,24,181,21,4
209,32500,17500,1,2012,60,CFK,CFK_5,Premium,E,White,3.6L,6,16,21,285,22,12
210,27500,12500,0,2015,15,CFK,CFK_10,Not Premium,E,Black,2.4L,4,22,31,180,15,9
211,37500,12500,0,2013,20,IZA,IZA_16,Not Premium,E,White,3.0L,6,18,25,300,22,16
212,37500,22500,1,2014,35,HDT,HDT_6,Premium,E,Black,2.4L,4,20,26,260,19,12
213,32500,17500,0,2011,55,BZQ,BZQ_4,Not Premium,D,Blue,5.7L,8,16,23,395,26,14
214,47500,22500,0,2014,20,FPH,FPH_5,Premium,E,Black,2.0L,4,19,26,316,18,9
215,27500,2500,1,2014,55,HXQ,HXQ_1,Not Premium,E,White,3.5L,6,19,27,280,19,7
216,22500,7500,0,2012,70,BXO,BXO_2,Premium,G,Gray,3.6L,6,19,28,287,19,14
217,17500,2500,1,2012,25,ARU,ARU_4,Not Premium,E,Silver,2.5L,4,26,33,170,14,9
218,22500,2500,0,2013,35,LTX,LTX_20,Premium,E,Black,1.5L,4,26,32,170,14,5
219,12500,2500,0,2014,40,LTX,LTX_6,Not Premium,F,White,1.5L,4,29,36,160,15,16
220,37500,17500,1,2015,20,KQZ,KQZ_15,Not Premium,E,White,2.3L,4,20,27,300,19,5
221,32500,12500,1,2014,30,HXQ,HXQ_14,Premium,F,Gray,2.0L,4,22,32,252,14,10
222,42500,27500,0,2015,10,FPH,FPH_10,Not Premium,E,Black,2.0L,4,20,27,250,18,11
223,27500,17500,0,2012,60,JDZ,JDZ_20,null,E,White,2.0L,4,21,28,241,17,14
224,32500,2500,0,2011,50,FVQ,FVQ_6,Premium,D,White,2.8L,4,18,26,181,21,8
225,17500,7500,1,2010,90,HAE,HAE_16,null,F,Black,3.7L,6,19,27,328,20,1
226,27500,17500,0,2011,60,IZA,IZA_39,Premium,E,Black,2.0L,4,21,28,240,17,14
227,32500,2500,0,2013,50,LTX,LTX_3,Not Premium,E,Burgundy,3.6L,4,17,25,310,21,7
228,17500,2500,0,2007,20,KQZ,KQZ_4,Not Premium,E,Silver,2.5L,4,21,28,171,16,10
229,22500,2500,0,2010,40,HDT,HDT_10,Premium,F,Red,2.5L,4,26,36,175,18,16
230,22500,32500,0,2012,40,KQZ,KQZ_4,Premium,E,Red,2.0L,4,23,30,245,15,14
231,47500,32500,0,2015,15,AIH,AIH_8,Not Premium,D,Silver,5.7L,8,13,18,381,26,7
232,27500,17500,0,2014,15,HXQ,HXQ_14,Premium,F,Silver,1.5L,4,29,35,192,14,14
233,27500,32500,0,2012,45,HXQ,HXQ_8,Not Premium,null,White,1.5L,4,30,36,180,12,4
234,27500,32500,0,2013,20,CFK,CFK_6,Premium,E,White,2.4L,4,21,29,180,12,5
235,17500,12500,1,2013,45,FJE,FJE_3,Premium,G,Gray,3.6L,6,17,25,283,20,1
236,22500,27500,1,2013,65,AIH,AIH_13,Not Premium,F,Gray,2.5L,4,28,39,203,16,8
237,17500,2500,0,2012,45,JHO,JHO_10,Not Premium,F,Gray,1.4L,4,28,38,150,14,3
238,22500,7500,0,2012,90,CZV,CZV_10,Premium,E,Blue,2.5L,4,23,29,187,15,14
239,47500,12500,0,2016,10,LYP,LYP_8,Premium,E,Blue,2.0L,4,22,28,248,18,16
240,32500,2500,1,2013,55,LTX,LTX_9,Not Premium,D,White,5.3L,8,18,24,355,26,7
241,22500,17500,1,2014,45,CFK,CFK_1,Not Premium,E,White,2.4L,4,22,31,180,13,8
242,22500,2500,0,2012,25,HXQ,HXQ_14,Premium,B,Silver,2.4L,4,26,34,185,17,8
243,27500,17500,1,2014,50,ARU,ARU_4,Premium,E,Black,2.5L,4,25,32,170,14,2
244,47500,17500,0,2012,35,BDP,BDP_11,null,E,White,6.2L,8,15,22,420,26,16
245,47500,2500,0,2012,15,LTX,LTX_9,Not Premium,D,White,5.3L,8,16,22,355,26,7
246,32500,17500,0,2011,45,CFK,CFK_5,Premium,E,Gray,3.6L,6,16,21,285,22,8
247,22500,2500,0,2010,85,KQZ,KQZ_15,Premium,E,White,3.5L,6,16,22,365,18,10
248,12500,2500,0,2009,15,HXQ,HXQ_8,Not Premium,F,Silver,1.8L,4,30,39,143,13,14
249,17500,7500,0,2006,40,LTX,LTX_21,Not Premium,B,Burgundy,3.6L,6,17,28,312,19,13
250,27500,17500,0,2012,45,CFK,CFK_1,Premium,E,White,2.4L,4,22,30,180,13,9
251,32500,2500,0,2013,25,HXQ,HXQ_4,Premium,G,Silver,3.5L,6,19,28,280,19,16
252,22500,2500,0,2010,50,LTX,LTX_12,Premium,D,Red,3.6L,6,19,25,305,21,2
253,22500,2500,0,2012,85,CFK,CFK_8,Not Premium,E,Black,3.6L,6,19,26,293,24,8
254,32500,32500,0,2013,35,IZA,IZA_32,Premium,E,Black,2.0L,4,22,31,228,16,6
255,32500,2500,0,2013,20,CFK,CFK_8,Premium,E,Gray,3.6L,6,18,25,293,24,14
256,57500,22500,0,2014,15,IZA,IZA_16,Premium,E,Blue,3.0L,6,20,26,335,21,10
257,37500,22500,0,2015,10,CZV,CZV_7,Premium,E,Gray,2.5L,4,20,26,227,19,14
258,22500,2500,0,2013,40,HDT,HDT_3,Premium,E,Red,2.5L,4,26,32,170,15,10
259,37500,17500,0,2013,30,NHY,NHY_6,Premium,E,Gray,3.5L,6,20,27,290,19,4
260,22500,2500,0,2010,40,JDZ,JDZ_13,null,E,Silver,3.5L,6,18,25,302,17,7
261,32500,42500,1,2014,50,AIH,AIH_13,Premium,F,Gray,2.5L,4,28,39,206,16,6
262,32500,17500,1,2015,15,HXQ,HXQ_14,Premium,F,Black,2.0L,4,22,32,252,14,8
263,22500,12500,1,2014,70,CFK,CFK_10,Premium,E,Gray,2.4L,4,21,29,180,15,5
